Country_Name,Country_Code,Education,Military,Health_care,GDP
Afghanistan,AFG,4.087910175,,7.87199189,1712
Albania,ALB,,1.309292251,5.71466526,9640
Algeria,DZA,,3.820692661,5.29292834,13026
American Samoa,ASM,,,,
Andorra,AND,3.158890009,,6.70379149,
Angola,AGO,,4.524353815,3.3795827,6524
Antigua and Barbuda,ATG,,,5.64852918,19987
Arab World,ARB,,6.5187278,4.094275179,14577
Argentina,ARG,4.986310005,1.184234644,5.89274265,19742
Armenia,ARM,3.143840075,3.127249385,3.71354097,6803
Aruba,ABW,6.036870003,,,36015
Australia,AUS,5.099070072,1.930954977,9.19934655,41763
Austria,AUT,5.619430065,0.908241361,10.93557307,44022
Azerbaijan,AZE,2.435640097,2.312062608,5.00932503,15754
Bahamas. The,BHS,,,7.63371738,22665
Bahrain,BHR,,4.148081656,3.40195337,39676
Bangladesh,BGD,,0.001351377,3.155874,2579
Barbados,BRB,,,6.66975378,15401
Belarus,BLR,4.843820095,1.438287564,4.92365904,16603
Belgium,BEL,6.378739834,1.276506088,10.42349563,40858
Belize,BLZ,,0.855029176,5.60522062,7855
Benin,BEN,,0.489234998,5.36875255,1761
Bermuda,BMU,,,,54984
Bhutan,BTN,4.652579784,,4.73145771,6882
Bolivia,BOL,6.888450146,2.264905361,5.49176327,5598
Bosnia and Herzegovina,BIH,,,9.71201831,9422
Botswana,BWA,,3.831250643,5.24916763,13634
Brazil,BRA,5.739520073,1.951881656,8.0901717,14827
British Virgin Islands,VGB,,,,
Brunei Darussalam,BRN,3.681080103,3.886214044,2.24592919,73265
Bulgaria,BGR,3.592339993,2.87226097,6.88297734,15603
Burkina Faso,BFA,4.483270168,1.309456569,5.16945672,1470
Burundi,BDI,5.99778986,6.071040806,8.57801472,712
Cabo Verde,CPV,5.043610096,0.823865509,4.5981957,6147
Cambodia,KHM,,1.776677795,5.64142819,2648
Cameroon,CMR,3.052900076,1.290360035,3.96167517,2614
Canada,CAN,5.27244997,1.137368973,10.82129629,41565
Caribbean small states,CSS,6.267680168,,5.745513801,14221
Cayman Islands,CYM,,,,49902
Central African Republic,CAF,1.228620052,,3.73272849,900
